Name,Category,Location (l),Phone (p),email (e),Timings (t),schedule webpage,Ages (a),Programs (r),Website,Registration page
IMAF,martial arts,"355 Eisenhower Pkwy, Livingston, NJ 07039",973-422-1500,imafnj@gmail.com,"Mon  - Fri: 9:00 AM - 8:30 PM, Sat: 7:00 AM - 12:00 AM, Sun: Closed",https://imafit.com/location/livingston-nj/,4+,"Little Ninja Martial Arts [4 - 5], Kid's Martial Arts [6 - 8 + 9 - 12], Teen Martial Arts [13+], Brazilian Jiu Jitsu, Adult Martial Arts, Combat Fitness Kickboxing, Womens Self-Defense",https://imafit.com/,VARIES
Amorosi's Mixed Martial Arts,martial arts,"615 S Livingston Ave, Livingston, NJ 07039",973-533-9112,info@amorosimma.com,"Tues: 5:00 PM - 8:30 PM + 6:00 AM, Wed: 5:00 PM - 8:30 PM, Thurs: 5:00 PM - 8:30 PM + 6:00 AM, Sat: 6:00 AM - 11:30 AM",http://www.amorosimma.com/images/_downloads/SchedulC1-2017-Fall-1.0.pdf,NONE,"Pee Wee, Child & Junior Karate, Child & Junior MMA, Adult Karate, Adult MMA, Kata, Self-Defense, MartialXross",https://www.amorosimma.com/,VARIES
CMA Fitness,martial arts,"16 Eisenhower Pkwy, Roseland, NJ 07068",973-403-0045,info@cmanj.com | fitness@cmanj.com,"Mon, Wed, Fri: 9:15 AM - 6:30 PM, Tues, Thurs: 3:00 PM - 7:30 PM, Sat: 9:00 AM - 10:00 AM",http://cmanj.com/class-schedule/,2+,"CMA Fitness, Adult TKD, Enrichment Students, Little Dragon, Children, Black Belt, Adult TKD",http://cmanj.com/,VARIES
East Hanover Kids Martial Arts,martial arts,"420 Ridgedale Ave, East Hanover, NJ 07936",973-585-6866,ampedmma@gmail.com,"Mon: 5:00 PM - 8:00 PM, Tues: 5:00 PM - 5:45 PM + 6:00 PM - 7:00 PM, Wed: 4:15 PM - 8:00 PM, Thurs: 5:00 PM - 5:45 PM + 6:00 PM - 7:00 PM, TODO",https://ampedmma.com/Home/Schedule,6+,"Kids Martial Arts [6 - 11], Adult Martial Arts [Adults], Bootcamp [Adults], Adult Martial Arts [Adults]",https://ampedmma.com/,VARIES
Apex Tigers Martial Arts,martial arts,"79 Hanover Road Florham Park, NJ 07932",973-966-1119,fp@apextigers.com,"Monday through Friday:11:30am – 9:00pm, Saturday and Sunday: 11:30am – 9:00pm",https://apextigers.com/schedule/,3+,"Little Tigers [3 – 5], Junior Tiger
[6 – 10], Teen Tigers, Adult Tigers",https://apextigers.com/,https://apextigers.sites.zenplanner.com/sign-up-now.cfm
Lifetime Swimming,swimming,"14 Fernwood Rd, Florham Park, NJ 07932",908-598-1212,NONE,VARIES,https://www.lifetime.life/life-time-locations/nj-florham-park/schedule.html?selecteddate=2020-12-07,NONE,NONE,https://www.lifetime.life/home.html,https://www.lifetime.life/life-time-locations.html
Centercourt Tennis,tennnis,"222 North Passaic Avenue Chatham, NJ 07928",973-635-1222,NONE,VARIES,VARIES,8+,"Junior Development Tennis, Adult Tennis, Camps, Preformance Academy",https://centercourtacademy.com/sports/tennis,VARIES
Bill Wing Tennis Academy,tennis,"163 East Main St PMB 190, Little Falls, NJ, 07424",973-256-0818,bwtta@aol.com,,,,"Adult Programs, Junior Programs, Summer Camp",https://www.bwta.biz/,https://www.bwta.biz/registration-child
West Orange Tennis Club,tennnis,"1448 Pleasant Valley Way, West Orange New Jersey",973-731-1740,fdesk@westorangetennisclub.com,VARIES,https://westorangetennisclub.com/elementor-4901/,4 - 17,"Summer Junior Tennis [4 - 17], Winter Junior Tennis",https://westorangetennisclub.com/,VARIES
The Strand Tennis Center,tennnis,"40 Watchung Avenue, Chatham, NJ 07928",973-507-9412,talk2us@strandtc.com,VARIIES,https://www.strandtc.com/schedule,NONE,"Beginner, Doubles, Advanced",https://www.strandtc.com,VARIES
All 4 Dance Studio,dancing,"155 Roseland Ave, Suite 7, Caldwell, NJ 07006",973-226-0330,all4dancestudio@gmail.com,VARIES,http://all4dancestudio.com/calendar,NONE,THIS ONE,http://all4dancestudio.com/,NONE
Grooves Unlimited,dancing,"355 Eisenhower Parkway, Suite 100, Livingston NJ 07039",973-878-2836,Office@GroovesUnlimitedDanceStudio.com,From 1 - 4 Weekly classes,https://www.groovesunlimiteddancestudio.com/new-groovers,3+,"Mini Groovers [3 - 5], Little Grovers [5 - 7], Elite Groovers [7 - 10], X-Treme Groovers [10+], Supreme Groovers [13+]",https://www.groovesunlimiteddancestudio.com/,https://www.groovesunlimiteddancestudio.com/get-to-know-grooves
MLC Coding,coding,"360 Bloomfield Ave, Montclair, NJ 07042",973-744-7464,contactus@mlcplus.com,VARIES,https://www.mlcplus.com/code-academy/,NONE,THIS ONE,https://www.mlcplus.com/code-academy/,https://www.mlcplus.com/code-academy/#registration
MLC Robotics,robotics,"360 Bloomfield Ave, Montclair, NJ 07042",973-744-7464,contactus@mlcplus.com,VARIES,https://www.mlcplus.com/robotics/,NONE,THIS ONE,https://www.mlcplus.com/robotics/,https://www.mlcplus.com/robotics/#registration
